"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Justice of the Supreme Court (Vote For 1)","Dwayne Woodruff","Dem",132836,63.13,922080,217600,1322,1322,"0","0"
2,"Justice of the Supreme Court (Vote For 1)","Sallie Mundy","Rep",77363,36.77,922080,217600,1322,1322,"0","0"
3,"Justice of the Supreme Court (Vote For 1)","WRITE-IN","",217,0.10,922080,217600,1322,1322,"0","0"
4,"Judge of the Superior Court (Vote For 4)","Maria McLaughlin","Dem",135279,17.39,922080,217600,1322,1322,"0","0"
5,"Judge of the Superior Court (Vote For 4)","Carolyn H. Nichols","Dem",121272,15.59,922080,217600,1322,1322,"0","0"
6,"Judge of the Superior Court (Vote For 4)","Debbie Kunselman","Dem",135506,17.42,922080,217600,1322,1322,"0","0"
7,"Judge of the Superior Court (Vote For 4)","Geoff Moulton","Dem",113865,14.64,922080,217600,1322,1322,"0","0"
8,"Judge of the Superior Court (Vote For 4)","Craig Stedman","Rep",66986,8.61,922080,217600,1322,1322,"0","0"
9,"Judge of the Superior Court (Vote For 4)","Emil Giordano","Rep",61678,7.93,922080,217600,1322,1322,"0","0"
10,"Judge of the Superior Court (Vote For 4)","Wade A. Kagarise","Rep",60337,7.76,922080,217600,1322,1322,"0","0"
11,"Judge of the Superior Court (Vote For 4)","Mary Murray","Rep",68718,8.84,922080,217600,1322,1322,"0","0"
12,"Judge of the Superior Court (Vote For 4)","Jules Mermelstein","Grn",13503,1.74,922080,217600,1322,1322,"0","0"
13,"Judge of the Superior Court (Vote For 4)","WRITE-IN","",584,0.08,922080,217600,1322,1322,"0","0"
14,"Judge of the Commonwealth Court (Vote For 2)","Ellen Ceisler","Dem",124089,31.61,922080,217600,1322,1322,"0","0"
15,"Judge of the Commonwealth Court (Vote For 2)","Irene M. Clark","Dem",121942,31.07,922080,217600,1322,1322,"0","0"
16,"Judge of the Commonwealth Court (Vote For 2)","Paul Lalley","Rep",71480,18.21,922080,217600,1322,1322,"0","0"
17,"Judge of the Commonwealth Court (Vote For 2)","Christine Fizzano Cannon","Rep",74769,19.05,922080,217600,1322,1322,"0","0"
18,"Judge of the Commonwealth Court (Vote For 2)","WRITE-IN","",240,0.06,922080,217600,1322,1322,"0","0"
19,"Judge of the Court of Common Pleas (Vote For 2)","Patrick Connelly","D/R",154080,42.51,922080,217600,1322,1322,"0","0"
20,"Judge of the Court of Common Pleas (Vote For 2)","David Lee Spurgeon","Dem",129990,35.87,922080,217600,1322,1322,"0","0"
21,"Judge of the Court of Common Pleas (Vote For 2)","Mary C. McGinley","Rep",77455,21.37,922080,217600,1322,1322,"0","0"
22,"Judge of the Court of Common Pleas (Vote For 2)","WRITE-IN","",914,0.25,922080,217600,1322,1322,"0","0"
23,"Sheriff (Vote For 1)","Bill Mullen","D/R",187465,99.21,922080,217600,1322,1322,"0","0"
24,"Sheriff (Vote For 1)","WRITE-IN","",1491,0.79,922080,217600,1322,1322,"0","0"
25,"Member of County Council DISTRICT 1 (Vote For 1)","Jack Betkowski","Dem",8263,49.44,71080,17543,78,78,"0","0"
26,"Member of County Council DISTRICT 1 (Vote For 1)","Tom Baker","Rep",8415,50.35,71080,17543,78,78,"0","0"
27,"Member of County Council DISTRICT 1 (Vote For 1)","WRITE-IN","",34,0.20,71080,17543,78,78,"0","0"
28,"Member of County Council DISTRICT 3 (Vote For 1)","Anita Prizio","Dem",9007,50.83,72089,18481,93,93,"0","0"
29,"Member of County Council DISTRICT 3 (Vote For 1)","Edward J. Kress","Rep",8698,49.09,72089,18481,93,93,"0","0"
30,"Member of County Council DISTRICT 3 (Vote For 1)","WRITE-IN","",15,0.08,72089,18481,93,93,"0","0"
31,"Member of County Council DISTRICT 4 (4-Year Term) (Vote For 1)","Patrick J. Catena, Jr.","Dem",9975,65.71,71967,16228,99,99,"0","0"
32,"Member of County Council DISTRICT 4 (4-Year Term) (Vote For 1)","Dimitrios Pantzoulas","Rep",5177,34.10,71967,16228,99,99,"0","0"
33,"Member of County Council DISTRICT 4 (4-Year Term) (Vote For 1)","WRITE-IN","",29,0.19,71967,16228,99,99,"0","0"
34,"Member of County Council DISTRICT 8 (Vote For 1)","Charles Martoni","Dem",9951,62.23,68315,17074,97,97,"0","0"
35,"Member of County Council DISTRICT 8 (Vote For 1)","Michael Dell","Rep",6022,37.66,68315,17074,97,97,"0","0"
36,"Member of County Council DISTRICT 8 (Vote For 1)","WRITE-IN","",17,0.11,68315,17074,97,97,"0","0"
37,"Member of County Council DISTRICT 9 (Vote For 1)","Bob Macey","Dem",11419,98.65,64247,16166,117,117,"0","0"
38,"Member of County Council DISTRICT 9 (Vote For 1)","WRITE-IN","",156,1.35,64247,16166,117,117,"0","0"
39,"Member of County Council DISTRICT 12 (Vote For 1)","Robert J. Palmosina","Dem",11228,98.53,65877,14068,114,114,"0","0"
40,"Member of County Council DISTRICT 12 (Vote For 1)","WRITE-IN","",167,1.47,65877,14068,114,114,"0","0"
41,"Member of County Council DISTRICT 4 (Fill Vacancy) (Vote For 1)","WRITE-IN","",513,100.00,71967,16228,99,99,"0","0"
42,"Mayor CITYWIDE (Vote For 1)","William Peduto","Dem",40540,95.96,242002,49062,402,402,"0","0"
43,"Mayor CITYWIDE (Vote For 1)","WRITE-IN","",1706,4.04,242002,49062,402,402,"0","0"
44,"Member of Council DISTRICT 2 (Vote For 1)","Theresa Kail-Smith","Dem",3978,98.30,23766,4815,41,41,"0","0"
45,"Member of Council DISTRICT 2 (Vote For 1)","WRITE-IN","",69,1.70,23766,4815,41,41,"0","0"
46,"Member of Council DISTRICT 4 (Vote For 1)","Anthony Coghill","Dem",4012,79.54,25003,5248,47,47,"0","0"
47,"Member of Council DISTRICT 4 (Vote For 1)","Cletus Cibrone-Abate","Rep",895,17.74,25003,5248,47,47,"0","0"
48,"Member of Council DISTRICT 4 (Vote For 1)","WRITE-IN","",137,2.72,25003,5248,47,47,"0","0"
49,"Member of Council DISTRICT 6 (Vote For 1)","Robert Daniel Lavelle","Dem",3241,98.36,24824,3621,47,47,"0","0"
50,"Member of Council DISTRICT 6 (Vote For 1)","WRITE-IN","",54,1.64,24824,3621,47,47,"0","0"
51,"Member of Council DISTRICT 8 (Vote For 1)","Dan Gilman","Dem",5560,99.27,31893,6146,34,34,"0","0"
52,"Member of Council DISTRICT 8 (Vote For 1)","WRITE-IN","",41,0.73,31893,6146,34,34,"0","0"
53,"School Director DISTRICT 1 (Vote For 1)","Sylvia C. Wilson","Dem",4834,99.22,26332,5409,52,52,"0","0"
54,"School Director DISTRICT 1 (Vote For 1)","WRITE-IN","",38,0.78,26332,5409,52,52,"0","0"
55,"School Director DISTRICT 3 (Vote For 1)","Sala Udin","Dem",4530,98.59,28435,5321,53,53,"0","0"
56,"School Director DISTRICT 3 (Vote For 1)","WRITE-IN","",65,1.41,28435,5321,53,53,"0","0"
57,"School Director DISTRICT 5 (Vote For 1)","Terry Kennedy","D/R",4292,99.15,25714,5071,41,41,"0","0"
58,"School Director DISTRICT 5 (Vote For 1)","WRITE-IN","",37,0.85,25714,5071,41,41,"0","0"
59,"School Director DISTRICT 7 (Vote For 1)","Cynthia Ann Falls","D/R",3199,98.80,24146,3872,42,42,"0","0"
60,"School Director DISTRICT 7 (Vote For 1)","WRITE-IN","",39,1.20,24146,3872,42,42,"0","0"
61,"School Director DISTRICT 9 (Vote For 1)","Veronica M. Edwards","D/R",4200,98.71,23968,4961,39,39,"0","0"
62,"School Director DISTRICT 9 (Vote For 1)","WRITE-IN","",55,1.29,23968,4961,39,39,"0","0"
63,"Magisterial District Judge 05-02-01 (Vote For 1)","Tara Smith","D/R",4428,98.62,18332,5042,21,21,"0","0"
64,"Magisterial District Judge 05-02-01 (Vote For 1)","WRITE-IN","",62,1.38,18332,5042,21,21,"0","0"
65,"Magisterial District Judge 05-02-03 (Vote For 1)","Daniel J. Konieczka, Jr.","D/R",6063,99.38,28462,6843,46,46,"0","0"
